Model, Scenario, Algorithm, Iteration, State, NumberOfParameters,TotalPossibleCombinations,NumberOfFaults,Overlap,SafeValue,Strength,ClassFScore,ClassPrecision,ClassRecall,ExecutionTime,FScore,NumInvalidTests,NumMultipleFaults,NumberOfResults,NumberOfTestCases,NumberOfUniqueTestCases,PctInvalidTests,PctMultipleFaults,Precision,Recall
Random3,S5,FIC,0,COMPLETED,7,960,3,2,0,3,0.818181818,0.692307692,1,484,0.571428571,141,166,4,469,390,0.300639659,0.353944563,0.5,0.666666667
Random3,S5,Csp,0,COMPLETED,7,960,3,2,0,3,0.943396226,0.961538462,0.925925926,589,0.4,23,34,2,62,62,0.370967742,0.548387097,0.5,0.333333333
Random3,S5,FIC_BS,0,COMPLETED,7,960,3,2,0,3,0.72,0.5625,1,466,0.571428571,106,63,4,362,285,0.29281768,0.174033149,0.5,0.666666667
Random3,S5,Ala,0,TIME_OUT,7,960,3,2,0,3,,,,,,,,,,,,,,
Random3,S5,IDD,0,COMPLETED,7,960,3,2,0,3,0.857142857,0.75,1,435,0.4,23,36,2,68,68,0.338235294,0.529411765,0.5,0.333333333
Random3,S5,Ben,0,COMPLETED,7,960,3,2,0,3,0.72972973,0.574468085,1,504,0.016348774,26,39,364,72,72,0.361111111,0.541666667,0.008241758,1
Random3,S5,Ict,0,COMPLETED,7,960,3,2,0,3,1,1,1,1117,0.8,34,8,2,92,91,0.369565217,0.086956522,1,0.666666667
Random3,S5,Ipog,0,COMPLETED,7,960,3,2,0,3,0.147512864,1,0.07962963,431,0,23,34,43,62,62,0.370967742,0.548387097,0,0
Random3,S0,Aifl,0,COMPLETED,7,960,1,0,0,2,1,1,1,420,0.007017544,34,0,284,111,111,0.306306306,0,0.003521127,1
Random3,S0,IterAifl,0,COMPLETED,7,960,1,0,0,2,1,1,1,449,0.007017544,115,0,284,336,336,0.342261905,0,0.003521127,1
Random3,S0,FIC,0,COMPLETED,7,960,1,0,0,2,1,1,1,405,1,31,0,1,133,125,0.233082707,0,1,1
Random3,S0,Csp,0,COMPLETED,7,960,1,0,0,2,1,1,1,434,1,5,0,1,21,21,0.238095238,0,1,1
Random3,S0,FIC_BS,0,COMPLETED,7,960,1,0,0,2,1,1,1,403,1,36,0,1,161,155,0.223602484,0,1,1
Random3,S0,Ala,0,TIME_OUT,7,960,1,0,0,2,,,,,,,,,,,,,,
Random3,S0,IDD,0,COMPLETED,7,960,1,0,0,2,1,1,1,395,1,8,0,1,26,26,0.307692308,0,1,1
Random3,S0,Ben,0,COMPLETED,7,960,1,0,0,2,1,1,1,415,1,22,0,1,69,69,0.31884058,0,1,1
Random3,S0,Ict,0,COMPLETED,7,960,1,0,0,2,1,1,1,536,1,13,0,1,33,33,0.393939394,0,1,1
Random3,S0,Ipog,0,COMPLETED,7,960,1,0,0,2,0.11023622,1,0.058333333,387,0,5,0,14,21,21,0.238095238,0,0,0
Random3,S1,Aifl,0,COMPLETED,7,960,1,0,0,4,1,1,1,547,0.1,59,0,19,175,175,0.337142857,0,0.052631579,1
Random3,S1,IterAifl,0,COMPLETED,7,960,1,0,0,4,1,1,1,489,0.1,68,0,19,209,209,0.325358852,0,0.052631579,1
Random3,S1,FIC,0,COMPLETED,7,960,1,0,0,4,1,1,1,487,1,61,0,1,180,178,0.338888889,0,1,1
Random3,S1,Csp,0,COMPLETED,7,960,1,0,0,4,1,1,1,652,1,53,0,1,156,156,0.33974359,0,1,1
Random3,S1,FIC_BS,0,COMPLETED,7,960,1,0,0,4,1,1,1,490,1,68,0,1,201,191,0.338308458,0,1,1
Random3,S1,Ala,0,TIME_OUT,7,960,1,0,0,4,,,,,,,,,,,,,,
Random3,S1,IDD,0,COMPLETED,7,960,1,0,0,4,1,1,1,489,1,55,0,1,162,162,0.339506173,0,1,1
Random3,S1,Ben,0,COMPLETED,7,960,1,0,0,4,1,1,1,500,1,56,0,1,173,173,0.323699422,0,1,1
Random3,S1,Ict,0,COMPLETED,7,960,1,0,0,4,1,1,1,4281,1,58,0,1,177,175,0.327683616,0,1,1
Random3,S1,Ipog,0,COMPLETED,7,960,1,0,0,4,0.315789474,1,0.1875,474,0,53,0,3,156,156,0.33974359,0,0,0
Random3,S2,Aifl,0,COMPLETED,7,960,2,2,0,4,1,1,1,530,0.002721088,140,14,1468,422,422,0.331753555,0.033175355,0.001362398,1
Random3,S2,IterAifl,0,COMPLETED,7,960,2,2,0,4,1,1,1,559,0.002721088,217,16,1468,654,654,0.331804281,0.024464832,0.001362398,1
Random3,S2,FIC,0,COMPLETED,7,960,2,2,0,4,1,1,1,525,0.666666667,204,22,1,620,450,0.329032258,0.035483871,1,0.5
Random3,S2,Csp,0,COMPLETED,7,960,2,2,0,4,1,1,1,635,0.666666667,53,3,1,156,156,0.33974359,0.019230769,1,0.5
Random3,S2,FIC_BS,0,COMPLETED,7,960,2,2,0,4,1,1,1,516,0.666666667,164,10,1,504,414,0.325396825,0.01984127,1,0.5
Random3,S2,Ala,0,TIME_OUT,7,960,2,2,0,4,,,,,,,,,,,,,,
Random3,S2,IDD,0,COMPLETED,7,960,2,2,0,4,1,1,1,487,0.666666667,54,3,1,158,158,0.341772152,0.018987342,1,0.5
Random3,S2,Ben,0,COMPLETED,7,960,2,2,0,4,0.634920635,0.465116279,1,584,0.006578947,53,3,606,165,165,0.321212121,0.018181818,0.00330033,1
Random3,S2,Ict,0,COMPLETED,7,960,2,2,0,4,1,1,1,3022,0.666666667,45,0,1,139,139,0.323741007,0,1,0.5
Random3,S2,Ipog,0,COMPLETED,7,960,2,2,0,4,0.306878307,1,0.18125,474,0,53,3,58,156,156,0.33974359,0.019230769,0,0
Random4,S3,Aifl,0,COMPLETED,4,64,2,0,0,2,0.952380952,0.909090909,1,366,0.133333333,7,0,28,30,30,0.233333333,0,0.071428571,1
Random4,S3,IterAifl,0,COMPLETED,4,64,2,0,0,2,1,1,1,372,0.137931034,13,0,27,46,46,0.282608696,0,0.074074074,1
Random4,S3,FIC,0,COMPLETED,4,64,2,0,0,2,0.833333333,0.714285714,1,362,0.5,11,0,2,41,29,0.268292683,0,0.5,0.5
Random4,S3,Csp,0,COMPLETED,4,64,2,0,0,2,0.818181818,0.75,0.9,405,0.5,4,0,2,16,16,0.25,0,0.5,0.5
Random4,S3,FIC_BS,0,COMPLETED,4,64,2,0,0,2,0.476190476,0.3125,1,351,0.5,9,0,2,37,26,0.243243243,0,0.5,0.5
Random4,S3,Ala,0,TIME_OUT,4,64,2,0,0,2,,,,,,,,,,,,,,
Random4,S3,IDD,0,COMPLETED,4,64,2,0,0,2,0.833333333,0.714285714,1,362,0.5,6,0,2,19,19,0.315789474,0,0.5,0.5
Random4,S3,Ben,0,COMPLETED,4,64,2,0,0,2,1,1,1,367,0.333333333,6,0,10,29,29,0.206896552,0,0.2,1
Random4,S3,Ict,0,COMPLETED,4,64,2,0,0,2,1,1,1,444,1,6,0,2,32,25,0.1875,0,1,1
Random4,S3,Ipog,0,COMPLETED,4,64,2,0,0,2,0.4,1,0.25,340,0,4,0,5,16,16,0.25,0,0,0
Random4,S4,Aifl,0,COMPLETED,4,64,3,0,0,4,1,1,1,359,0.054545455,16,8,107,64,64,0.25,0.125,0.028037383,1
Random4,S4,IterAifl,0,COMPLETED,4,64,3,0,0,4,1,1,1,358,0.054545455,16,8,107,64,64,0.25,0.125,0.028037383,1
Random4,S4,FIC,0,COMPLETED,4,64,3,0,0,4,0.780952381,0.640625,1,379,0.363636364,85,40,8,306,64,0.277777778,0.130718954,0.25,0.666666667
Random4,S4,Csp,0,COMPLETED,4,64,3,0,0,4,0.780952381,0.640625,1,569,0,16,8,2,64,64,0.25,0.125,0,0
Random4,S4,FIC_BS,0,COMPLETED,4,64,3,0,0,4,0.780952381,0.640625,1,366,0.444444444,67,9,6,250,64,0.268,0.036,0.333333333,0.666666667
Random4,S4,Ala,0,TIME_OUT,4,64,3,0,0,4,,,,,,,,,,,,,,
Random4,S4,IDD,0,COMPLETED,4,64,3,0,0,4,0.942528736,0.891304348,1,361,0.666666667,16,8,3,64,64,0.25,0.125,0.666666667,0.666666667
Random4,S4,Ben,0,COMPLETED,4,64,3,0,0,4,1,1,1,369,0.054545455,16,8,107,64,64,0.25,0.125,0.028037383,1
Random4,S4,Ict,0,COMPLETED,4,64,3,0,0,4,0,1,0,345,0,4,1,0,12,12,0.333333333,0.083333333,1,0
Random4,S4,Ipog,0,COMPLETED,4,64,3,0,0,4,1,1,1,341,0.045454545,16,8,41,64,64,0.25,0.125,0.024390244,0.333333333
Random4,S5,Aifl,0,COMPLETED,4,64,3,0,0,3,1,1,1,374,0.12244898,12,0,46,47,47,0.255319149,0,0.065217391,1
Random4,S5,IterAifl,0,COMPLETED,4,64,3,0,0,3,1,1,1,369,0.12244898,14,0,46,56,56,0.25,0,0.065217391,1
Random4,S5,FIC,0,COMPLETED,4,64,3,0,0,3,0.846153846,0.733333333,1,367,0.666666667,22,0,3,87,48,0.252873563,0,0.666666667,0.666666667
